Image Name,,Resolution,Angle,Time (s)
4K.jpg,,4368x2893,45,24.39564037
4K.jpg,,4368x2893,90,15.12698603
4K.jpg,,4368x2893,135,24.55513549
4K.jpg,,4368x2893,180,14.92240238
4K.jpg,,4368x2893,225,25.15412664
4K.jpg,,4368x2893,270,27.98163939
4K.jpg,,4368x2893,315,60.43035984
4K.jpg,,4368x2893,360,38.8734622
640x960.jpg,,640x960,45,2.708686352
640x960.jpg,,640x960,90,1.775321722
640x960.jpg,,640x960,135,2.832040548
640x960.jpg,,640x960,180,1.785603762
640x960.jpg,,640x960,225,2.753493071
640x960.jpg,,640x960,270,1.800644636
640x960.jpg,,640x960,315,2.754841089
640x960.jpg,,640x960,360,1.774711847
8K.jpg,,4480x6720,45,117.8932962
8K.jpg,,4480x6720,90,84.81026053
8K.jpg,,4480x6720,135,131.9939156
8K.jpg,,4480x6720,180,82.84662747
8K.jpg,,4480x6720,225,133.7279687
8K.jpg,,4480x6720,270,86.72477555
8K.jpg,,4480x6720,315,136.3743863
8K.jpg,,4480x6720,360,86.68011332
FullHD.jpg,,1920x1080,45,9.445078373
FullHD.jpg,,1920x1080,90,6.013997316
FullHD.jpg,,1920x1080,135,9.718930006
FullHD.jpg,,1920x1080,180,6.249022484
FullHD.jpg,,1920x1080,225,9.690321684
FullHD.jpg,,1920x1080,270,6.218538284
FullHD.jpg,,1920x1080,315,6.574503422
FullHD.jpg,,1920x1080,360,2.841518402
HD.jpg,,1200x673,45,1.641642809
HD.jpg,,1200x673,90,1.055247068
HD.jpg,,1200x673,135,1.638528824
HD.jpg,,1200x673,180,1.023712158
HD.jpg,,1200x673,225,1.842263699
HD.jpg,,1200x673,270,1.247912645
HD.jpg,,1200x673,315,1.901457787
HD.jpg,,1200x673,360,1.092491388
Sopra 8k.jpg,,6336x9520,45,245.5784438
Sopra 8k.jpg,,6336x9520,90,173.6871982
Sopra 8k.jpg,,6336x9520,135,271.3279674
Sopra 8k.jpg,,6336x9520,180,180.0270202
Sopra 8k.jpg,,6336x9520,225,272.3782494
Sopra 8k.jpg,,6336x9520,270,71.89376807
Sopra 8k.jpg,,6336x9520,315,148.4671981
Sopra 8k.jpg,,6336x9520,360,171.7624867
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
